mouse_distance,mouse_clicks,key_presses,idle_time,activity_intensity,typing_ratio,switch_rate,label
1081.97,0,0,0,10.819700000000001,0.0,0,Fake_Productive
1980.72,1,0,0,19.8072,0.0,0,Fake_Productive
0.0,0,14,0,14.0,1.0,1,Productive
0.0,0,9,0,9.0,1.0,0,Fake_Productive
0.0,0,23,0,23.0,1.0,0,Productive
0.0,0,11,1,11.0,1.0,0,Productive
0.0,0,22,0,22.0,1.0,0,Productive
0.0,0,11,0,11.0,1.0,0,Productive
0.0,0,18,0,18.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,17,0,17.0,1.0,0,Productive
0.0,0,12,0,12.0,1.0,0,Productive
0.0,0,17,0,17.0,1.0,0,Productive
0.0,0,11,2,11.0,1.0,0,Productive
0.0,0,11,0,11.0,1.0,0,Productive
0.0,0,11,0,11.0,1.0,0,Productive
0.0,0,13,2,13.0,1.0,0,Productive
0.0,0,13,0,13.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,7,1,7.0,1.0,0,Fake_Productive
0.0,0,10,0,10.0,1.0,0,Productive
0.0,0,6,0,6.0,1.0,0,Fake_Productive
2270.09,1,0,0,22.7009,0.0,0,Fake_Productive
2662.93,1,0,0,26.6293,0.0,1,Fake_Productive
894.44,1,0,2,8.9444,0.0,0,Fake_Productive
0.0,0,19,0,19.0,1.0,1,Productive
0.0,0,31,0,31.0,1.0,1,Productive
0.0,0,30,0,30.0,1.0,0,Productive
0.0,0,31,0,31.0,1.0,0,Productive
0.0,0,28,0,28.0,1.0,0,Productive
0.0,0,28,0,28.0,1.0,0,Productive
0.0,0,35,0,35.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,28,0,28.0,1.0,0,Productive
0.0,0,10,0,10.0,1.0,0,Productive
0.0,0,23,0,23.0,1.0,0,Productive
0.0,0,21,0,21.0,1.0,0,Productive
0.0,0,20,0,20.0,1.0,0,Productive
0.0,0,20,0,20.0,1.0,0,Productive
0.0,0,24,0,24.0,1.0,0,Productive
0.0,0,31,0,31.0,1.0,0,Productive
0.0,0,28,0,28.0,1.0,0,Productive
0.0,0,20,0,20.0,1.0,0,Productive
0.0,0,27,0,27.0,1.0,0,Productive
0.0,0,32,0,32.0,1.0,0,Productive
1504.21,0,23,0,38.042100000000005,0.6045933321241466,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,21,0,21.0,1.0,0,Productive
0.0,0,22,0,22.0,1.0,0,Productive
0.0,0,25,0,25.0,1.0,0,Productive
0.0,0,29,0,29.0,1.0,0,Productive
0.0,0,20,0,20.0,1.0,0,Productive
0.0,0,23,0,23.0,1.0,0,Productive
0.0,0,33,0,33.0,1.0,0,Productive
0.0,0,22,0,22.0,1.0,0,Productive
8654.87,6,0,0,86.54870000000001,0.0,0,Fake_Productive
17.21,1,18,0,18.1721,0.9905294379846028,0,Productive
0.0,0,12,0,12.0,1.0,0,Productive
0.0,0,13,0,13.0,1.0,0,Productive
0.0,0,19,0,19.0,1.0,0,Productive
0.0,0,11,0,11.0,1.0,0,Productive
0.0,0,13,0,13.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,18,0,18.0,1.0,0,Productive
0.0,0,13,0,13.0,1.0,0,Productive
0.0,0,17,0,17.0,1.0,0,Productive
0.0,0,19,0,19.0,1.0,0,Productive
1741.71,0,0,0,17.4171,0.0,0,Fake_Productive
1984.94,2,4,0,23.8494,0.1677191040445462,1,Fake_Productive
2295.45,2,2,0,24.9545,0.08014586547516481,0,Fake_Productive
0.0,0,18,0,18.0,1.0,0,Productive
0.0,0,21,0,21.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,14,0,14.0,1.0,0,Productive
0.0,0,29,0,29.0,1.0,0,Productive
0.0,0,4,0,4.0,1.0,0,Fake_Productive
0.0,0,21,0,21.0,1.0,0,Productive
0.0,0,23,0,23.0,1.0,0,Productive
0.0,0,20,0,20.0,1.0,0,Productive
0.0,0,12,0,12.0,1.0,0,Productive
0.0,0,7,3,7.0,1.0,0,Fake_Productive
0.0,0,23,0,23.0,1.0,0,Productive
0.0,0,8,3,8.0,1.0,0,Fake_Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,0,5,0.0,0.0,0,Fake_Productive
0.0,0,0,10,0.0,0.0,0,Fake_Productive
0.0,0,4,0,4.0,1.0,0,Fake_Productive
0.0,0,27,0,27.0,1.0,0,Productive
0.0,0,16,0,16.0,1.0,0,Productive
0.0,0,8,1,8.0,1.0,0,Fake_Productive
0.0,0,10,0,10.0,1.0,0,Productive
0.0,0,17,0,17.0,1.0,0,Productive
0.0,0,17,0,17.0,1.0,0,Productive
0.0,0,30,0,30.0,1.0,0,Productive
3029.38,2,6,0,36.293800000000005,0.1653174922438543,1,Fake_Productive
3779.96,2,1,0,38.7996,0.025773461582078168,0,Fake_Productive
0.0,0,1,4,1.0,1.0,0,Fake_Productive
0.0,0,0,9,0.0,0.0,0,Fake_Productive
0.0,0,0,14,0.0,0.0,0,Fake_Productive
